Development_Name,Borough,Account_Name,Location,Funding_Source,AMP_Number,Vendor_Name,UMIS_BILL_ID,Revenue_Month,Service_Start_Date,DATE,Number_of_days,Meter_Number,Estimated,Current_Charges,Rate_Class,Bill_Analyzed,Consumption_Therms,ES_Commodity,Underlying_Utility,STATION,NAME,LATITUDE,LONGITUDE,PRCP,SNOW,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
SOTOMAYOR HOUSES,BRONX,SOTOMAYOR HOUSES,BLD 31 - Community Center,FEDERAL,NY005010670P,EAST COAST POWER & GAS,8048627,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,130.42,,Yes,322.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SEDGWICK,BRONX,SEDGWICK,BLD 03,FEDERAL,NY005010450P,EAST COAST POWER & GAS,8048581,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,14425.87,,Yes,35616.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SAINT MARY'S PARK,BRONX,SAINT MARYS PARK,BLD 03,MIXED FINANCE/LLC1,NY005020930P,EAST COAST POWER & GAS,8048615,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,15969.47,,Yes,39427.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SACK WERN,BRONX,SACK WERN,,FEDERAL,NY005012800P,EAST COAST POWER & GAS,8048704,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,518.44,,Yes,1280.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SACK WERN,BRONX,SACK WERN,,FEDERAL,NY005012800P,EAST COAST POWER & GAS,8048703,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,678.84,,Yes,1676.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SACK WERN,BRONX,SACK WERN,BLD 05,FEDERAL,NY005012800P,EAST COAST POWER & GAS,8048702,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,,0.0,,Yes,0.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SACK WERN,BRONX,SACK WERN,BLD 04,FEDERAL,NY005012800P,EAST COAST POWER & GAS,8048701,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,,0.0,,Yes,0.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SACK WERN,BRONX,SACK WERN,BLD 02,FEDERAL,NY005012800P,EAST COAST POWER & GAS,8048700,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,,0.0,,Yes,0.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SACK WERN,BRONX,SACK WERN,BLD 03,FEDERAL,NY005012800P,EAST COAST POWER & GAS,8048699,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,,0.0,,Yes,0.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SACK WERN,BRONX,SACK WERN,BLD 07,FEDERAL,NY005012800P,EAST COAST POWER & GAS,8048698,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,898.38,,Yes,2218.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SACK WERN,BRONX,SACK WERN,BLD 01,FEDERAL,NY005012800P,EAST COAST POWER & GAS,8048697,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,,0.0,,Yes,0.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
SACK WERN,BRONX,SACK WERN,BLD 06,FEDERAL,NY005012800P,EAST COAST POWER & GAS,8200732,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,,0.0,,Yes,0.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
RANDALL AVENUE-BALCOM AVENUE,BRONX,RANDALL AVENUE-BALCOM AVENUE,BLD 03,FEDERAL,NY005010630P,EAST COAST POWER & GAS,8048611,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,1630.69,,Yes,4026.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
PELHAM PARKWAY,BRONX,PELHAM PARKWAY,BLD 06,FEDERAL,NY005010390P,EAST COAST POWER & GAS,8048676,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,10499.02,,Yes,25921.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
PATTERSON,BRONX,PATTERSON,BLD 13,FEDERAL,NY005000240P,EAST COAST POWER & GAS,8596933,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,68028.73,,Yes,167956.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
PARKSIDE,BRONX,PARKSIDE,BLD 04,FEDERAL,NY005010470P,EAST COAST POWER & GAS,8048679,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,11776.1,,Yes,29074.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MURPHY,BRONX,MURPHY,BLD 01,MIXED FINANCE/LLC2,NY005021330P,EAST COAST POWER & GAS,8048687,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,4242.78,,Yes,10475.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MOTT HAVEN,BRONX,MOTT HAVEN,BLD 04,FEDERAL,NY005001210P,EAST COAST POWER & GAS,8048685,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,,0.0,,Yes,0.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MORRISANIA AIR RIGHTS,BRONX,MORRISANIA AIR RIGHTS,BLD 02,FEDERAL,NY005012670P,EAST COAST POWER & GAS,8048640,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,9505.05,,Yes,23467.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MORRIS II,BRONX,MORRIS I/MORRIS II/MORRISANIA,MORRIS I BLD 10,FEDERAL,NY005011020P,EAST COAST POWER & GAS,8048587,2019-07-01,2019-06-24,2019-07-23,29.0,395416112510004-37.5%,N,83314.48,,Yes,29385.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MORRISANIA,BRONX,MORRIS I/MORRIS II/MORRISANIA,MORRIS I BLD 10,FEDERAL,NY005011410P,EAST COAST POWER & GAS,8048587,2019-07-01,2019-06-24,2019-07-23,29.0,395416112510004-9.2%,N,20439.82,,Yes,7209.12,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MORRIS I,BRONX,MORRIS I/MORRIS II/MORRISANIA,MORRIS I BLD 10,FEDERAL,NY005011020P,EAST COAST POWER & GAS,8048587,2019-07-01,2019-06-24,2019-07-23,29.0,395416112510004-53.3%,N,118417.65,,Yes,41765.88,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MOORE,BRONX,MOORE,BLD 01,FEDERAL,NY005010930P,EAST COAST POWER & GAS,8048695,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,8839.57,,Yes,21824.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
MONROE,BRONX,MONROE,BLD 01,FEDERAL,NY005000880P,EAST COAST POWER & GAS,8048635,2019-07-01,2019-06-24,2019-07-23,29.0,3.95E+14,N,19908.48,,Yes,49152.0,BROKERED GAS,ConEd,US1NYBX0025,"BRONX 1.5 NE, NY US",40.8598559,-73.8456936,2.3,,,,,
